target,aggregate,per_hospital,extra
0.75,5.0,12.5,7.5
0.755,6.8,13.95,7.15
0.76,8.6,15.4,6.8
0.765,10.4,16.85,6.45
0.77,12.2,18.3,6.1
0.775,14.0,20.0,6.0
0.78,16.2,22.4,6.2
0.785,18.9,25.3,6.4
0.79,21.6,28.2,6.6
0.795,24.3,31.1,6.8
0.8,27.0,34.0,7.0
0.805,29.7,36.9,7.2
0.81,32.4,39.8,7.4
0.815,35.1,42.7,7.6
0.82,37.8,45.6,7.8
0.825,40.5,48.5,8.0
0.83,43.2,51.4,8.2
0.835,45.9,54.3,8.4
0.84,48.6,57.2,8.6
0.845,51.3,60.1,8.8
0.85,54.0,63.0,9.0
0.855,56.7,65.9,9.2
0.86,59.4,69.0,9.6
0.865,62.8,72.25,9.45
0.87,66.4,75.5,9.1
0.875,70.0,78.75,8.75
0.88,73.6,82.0,8.4
0.885,77.2,85.25,8.05
0.89,80.9,88.6,7.7
0.895,84.95,92.3,7.35
0.9,89.0,96.0,7.0
0.905,93.05,99.7,6.65
0.91,97.1,103.4,6.3
0.915,101.15,107.1,5.95
0.92,105.2,110.8,5.6
0.925,109.25,114.5,5.25
0.93,113.3,118.2,4.9
0.935,117.35,121.9,4.55
0.94,121.4,125.6,4.2
0.945,125.45,129.3,3.85
0.95,129.5,133.0,3.5
0.955,133.55,136.7,3.15
0.96,137.6,140.4,2.8
0.965,141.65,144.1,2.45
0.97,145.7,147.8,2.1
0.975,149.75,151.5,1.75
0.98,153.8,155.2,1.4
0.985,157.85,158.9,1.05
0.99,161.9,162.6,0.7
0.995,165.95,166.3,0.35
1.0,170.0,170.0,0.0
