instance,target,aggregate,per_hospital,extra,relative
0,0.8,39.0,39.0,0.0,0.0
1,0.8,30.6,30.6,0.0,0.0
3,0.8,59.0,59.0,0.0,0.0
4,0.8,26.4,26.4,0.0,0.0
5,0.8,4.0,4.0,0.0,0.0
10,0.8,8.8,8.8,0.0,0.0
11,0.8,52.199999999999996,59.400000000000006,7.20000000000001,0.1379310344827588
13,0.8,8.4,8.4,0.0,0.0
16,0.8,30.599999999999998,30.599999999999998,0.0,0.0
17,0.8,19.8,21.2,1.3999999999999986,0.07070707070707064
19,0.8,5.800000000000001,5.800000000000001,0.0,0.0
23,0.8,36.6,36.6,0.0,0.0
27,0.8,38.8,54.8,16.0,0.4123711340206186
28,0.8,69.6,69.60000000000001,1.4210854715202004e-14,2.0417894705750008e-16
29,0.8,77.4,83.4,6.0,0.07751937984496124
30,0.8,26.2,26.2,0.0,0.0
31,0.8,36.6,36.6,0.0,0.0
32,0.8,24.6,24.6,0.0,0.0
33,0.8,30.0,30.0,0.0,0.0
34,0.8,33.0,33.0,0.0,0.0
36,0.8,44.199999999999996,44.199999999999996,0.0,0.0
37,0.8,9.200000000000001,14.4,5.199999999999999,0.5652173913043477
38,0.8,45.8,45.800000000000004,7.105427357601002e-15,1.5514033531879918e-16
39,0.8,7.4,7.4,0.0,0.0
44,0.8,13.8,27.0,13.2,0.9565217391304347
45,0.8,107.6,107.6,0.0,0.0
46,0.8,57.0,57.0,0.0,0.0
47,0.8,16.8,16.799999999999997,-3.552713678800501e-15,-2.1147105230955362e-16
50,0.8,76.4,76.39999999999999,-1.4210854715202004e-14,-1.860059517696597e-16
52,0.8,18.4,18.4,0.0,0.0
54,0.8,31.4,31.4,0.0,0.0
57,0.8,64.4,64.4,0.0,0.0
58,0.8,74.2,74.2,0.0,0.0
60,0.8,32.0,32.0,0.0,0.0
61,0.8,26.2,26.2,0.0,0.0
63,0.8,53.8,53.8,0.0,0.0
67,0.8,39.0,39.0,0.0,0.0
68,0.8,56.400000000000006,56.4,-7.105427357601002e-15,-1.2598275456739363e-16
71,0.8,27.4,27.4,0.0,0.0
74,0.8,24.8,24.8,0.0,0.0
75,0.8,9.0,9.0,0.0,0.0
79,0.8,33.8,33.8,0.0,0.0
80,0.8,17.2,17.2,0.0,0.0
81,0.8,36.2,36.2,0.0,0.0
82,0.8,84.2,84.2,0.0,0.0
83,0.8,21.0,21.0,0.0,0.0
84,0.8,3.8,22.6,18.8,4.947368421052632
87,0.8,16.6,16.6,0.0,0.0
89,0.8,34.6,34.6,0.0,0.0
90,0.8,38.4,38.4,0.0,0.0
92,0.8,35.2,40.2,5.0,0.14204545454545453
93,0.8,39.0,50.2,11.200000000000003,0.28717948717948727
94,0.8,54.599999999999994,54.599999999999994,0.0,0.0
97,0.8,101.4,101.4,0.0,0.0
98,0.8,89.2,89.2,0.0,0.0
105,0.8,77.0,77.0,0.0,0.0
106,0.8,78.4,78.4,0.0,0.0
108,0.8,28.6,28.6,0.0,0.0
110,0.8,18.2,18.2,0.0,0.0
116,0.8,28.4,28.4,0.0,0.0
118,0.8,36.0,56.8,20.799999999999997,0.5777777777777777
0,0.9,79.0,79.0,0.0,0.0
1,0.9,48.1,48.1,0.0,0.0
3,0.9,90.5,90.5,0.0,0.0
4,0.9,58.400000000000006,58.400000000000006,0.0,0.0
5,0.9,14.0,14.0,0.0,0.0
10,0.9,17.099999999999998,17.1,3.552713678800501e-15,2.0776103384798255e-16
11,0.9,86.1,92.0,5.900000000000006,0.06852497096399543
13,0.9,29.2,29.2,0.0,0.0
16,0.9,47.1,47.1,0.0,0.0
17,0.9,44.4,48.0,3.6000000000000014,0.08108108108108111
19,0.9,13.9,13.9,0.0,0.0
23,0.9,70.14999999999999,70.14999999999999,0.0,0.0
27,0.9,80.64999999999999,88.64999999999999,8.0,0.09919404835709858
28,0.9,109.8,109.8,0.0,0.0
29,0.9,116.7,120.2,3.5,0.029991431019708654
30,0.9,57.1,57.1,0.0,0.0
31,0.9,57.300000000000004,57.300000000000004,0.0,0.0
32,0.9,50.2,50.199999999999996,-7.105427357601002e-15,-1.4154237764145422e-16
33,0.9,49.0,49.0,0.0,0.0
34,0.9,57.0,57.0,0.0,0.0
36,0.9,72.1,72.10000000000001,1.4210854715202004e-14,1.9709923322055485e-16
37,0.9,31.1,36.0,4.899999999999999,0.15755627009646297
38,0.9,83.9,83.9,0.0,0.0
39,0.9,18.2,18.2,0.0,0.0
44,0.9,46.1,58.0,11.899999999999999,0.2581344902386117
45,0.9,147.8,147.8,0.0,0.0
46,0.9,87.0,87.0,0.0,0.0
47,0.9,26.4,26.400000000000002,3.552713678800501e-15,1.345724878333523e-16
50,0.9,115.7,115.7,0.0,0.0
52,0.9,38.2,40.7,2.5,0.06544502617801047
54,0.9,52.7,52.7,0.0,0.0
57,0.9,99.89999999999999,99.9,1.4210854715202004e-14,1.4225079794997003e-16
58,0.9,109.6,109.6,0.0,0.0
60,0.9,64.5,64.5,0.0,0.0
61,0.9,58.4,58.4,0.0,0.0
63,0.9,109.8,109.8,0.0,0.0
67,0.9,63.0,63.0,0.0,0.0
68,0.9,79.2,79.2,0.0,0.0
71,0.9,48.7,48.7,0.0,0.0
74,0.9,46.4,46.4,0.0,0.0
75,0.9,19.5,19.5,0.0,0.0
79,0.9,60.05,60.05,0.0,0.0
80,0.9,35.7,35.7,0.0,0.0
81,0.9,60.55,60.55,0.0,0.0
82,0.9,127.6,127.6,0.0,0.0
83,0.9,34.5,34.5,0.0,0.0
84,0.9,32.2,45.4,13.199999999999996,0.4099378881987576
87,0.9,53.4,53.4,0.0,0.0
89,0.9,56.800000000000004,56.800000000000004,0.0,0.0
90,0.9,76.2,76.2,0.0,0.0
92,0.9,62.599999999999994,62.599999999999994,0.0,0.0
93,0.9,73.0,81.6,8.599999999999994,0.11780821917808211
94,0.9,96.35,96.35,0.0,0.0
97,0.9,146.7,146.7,0.0,0.0
98,0.9,127.6,127.6,0.0,0.0
105,0.9,132.5,132.5,0.0,0.0
106,0.9,117.7,117.7,0.0,0.0
108,0.9,59.050000000000004,59.050000000000004,0.0,0.0
110,0.9,31.099999999999998,31.1,3.552713678800501e-15,1.1423516652091645e-16
116,0.9,53.8,53.8,0.0,0.0
118,0.9,73.5,83.9,10.400000000000006,0.14149659863945585
0,1.0,123.0,123.0,0.0,0.0
1,1.0,67.0,67.0,0.0,0.0
3,1.0,122.0,122.0,0.0,0.0
4,1.0,98.0,98.0,0.0,0.0
5,1.0,27.0,27.0,0.0,0.0
10,1.0,29.0,29.0,0.0,0.0
11,1.0,130.0,130.0,0.0,0.0
13,1.0,62.0,62.0,0.0,0.0
16,1.0,68.0,68.0,0.0,0.0
17,1.0,76.0,76.0,0.0,0.0
19,1.0,22.0,22.0,0.0,0.0
23,1.0,119.5,119.5,0.0,0.0
27,1.0,122.5,122.5,0.0,0.0
28,1.0,153.0,153.0,0.0,0.0
29,1.0,157.0,157.0,0.0,0.0
