instance,target,aggregate,per_hospital,equal_cost,top_up_on_installed,installed_supports_equity
0,0.8,39.0,39.0,True,0.0,True
1,0.8,30.6,30.6,True,0.0,True
3,0.8,59.0,59.0,True,0.0,True
4,0.8,26.4,26.4,True,0.0,True
5,0.8,4.0,4.0,True,0.0,True
10,0.8,8.8,8.8,True,0.0,True
11,0.8,52.199999999999996,59.400000000000006,False,7.2,False
13,0.8,8.4,8.4,True,0.0,True
16,0.8,30.599999999999998,30.599999999999998,True,0.0,True
17,0.8,19.8,21.2,False,3.8,False
19,0.8,5.800000000000001,5.800000000000001,True,0.0,True
23,0.8,36.6,36.6,True,0.0,True
27,0.8,38.8,54.8,False,16.0,False
28,0.8,69.6,69.60000000000001,True,0.0,True
29,0.8,77.4,83.4,False,21.6,False
30,0.8,26.2,26.2,True,0.0,True
31,0.8,36.6,36.6,True,0.0,True
32,0.8,24.6,24.6,True,13.0,False
33,0.8,30.0,30.0,True,5.0,False
34,0.8,33.0,33.0,True,0.0,True
36,0.8,44.199999999999996,44.199999999999996,True,0.0,True
37,0.8,9.200000000000001,14.4,False,5.2,False
38,0.8,45.8,45.800000000000004,True,0.0,True
39,0.8,7.4,7.4,True,0.0,True
44,0.8,13.8,27.0,False,13.2,False
45,0.8,107.6,107.6,True,0.0,True
46,0.8,57.0,57.0,True,0.0,True
47,0.8,16.8,16.799999999999997,True,0.0,True
50,0.8,76.4,76.39999999999999,True,0.0,True
52,0.8,18.4,18.4,True,0.0,True
54,0.8,31.4,31.4,True,0.0,True
57,0.8,64.4,64.4,True,0.0,True
58,0.8,74.2,74.2,True,0.0,True
60,0.8,32.0,32.0,True,0.0,True
61,0.8,26.2,26.2,True,0.0,True
63,0.8,53.8,53.8,True,1.0,False
67,0.8,39.0,39.0,True,0.0,True
68,0.8,56.400000000000006,56.4,True,0.0,True
71,0.8,27.4,27.4,True,0.0,True
74,0.8,24.8,24.8,True,0.0,True
75,0.8,9.0,9.0,True,0.0,True
