index,scenarios,reorderings,pi_spread,distinct_pi,bound_holds,beta_zero_reorderings
0,10,0,0.0,0,True,0
1,12,0,0.0,0,True,0
2,10,0,1.6764367671839864e-14,1,True,0
3,10,0,0.0,0,True,0
4,11,3,0.9560301507537726,7,True,0
5,12,1,0.5442359249329769,2,True,0
6,10,2,0.750000000000008,4,True,0
7,12,3,0.6747967479674808,4,True,0
8,10,2,0.7804054054054117,4,True,0
9,10,5,0.6444444444444515,6,True,0
10,11,4,0.8208469055374581,6,True,0
11,10,2,0.7709923664122168,6,True,0
12,11,2,0.8673184357541913,3,True,0
13,11,2,0.8773006134969386,3,True,0
14,12,2,0.3031042128603121,3,True,0
15,11,1,0.5662368112543921,2,True,0
16,11,0,0.5899772209567191,2,True,0
17,10,0,0.0,0,True,0
18,10,0,0.0,0,True,0
19,9,4,0.8604651162790822,5,True,0
20,10,3,0.7692307692307929,7,True,0
21,10,4,0.9630996309963155,8,True,0
22,11,0,0.0,0,True,0
23,10,0,0.0,0,True,0
24,11,1,0.6969696969697009,3,True,0
25,10,1,0.0,1,True,0
26,12,0,0.0,0,True,0
27,12,0,0.0,0,True,0
28,12,0,0.0,0,True,0
29,10,1,0.8055555555555649,3,True,0
30,11,0,0.9408284023668659,2,True,0
31,11,0,0.0,0,True,0
32,11,1,0.8208469055374564,2,True,0
33,11,0,0.0,0,True,0
34,11,0,0.6000000000000028,2,True,0
35,10,0,0.9047619047619165,2,True,0
36,9,2,0.9735449735449793,3,True,0
37,11,0,0.0,0,True,0
38,11,0,0.3684210526315892,2,True,0
39,11,1,0.6918172157279538,2,True,0
40,11,1,0.2547660311958415,2,True,0
41,10,0,0.0,0,True,0
42,10,0,1.021405182655144e-14,1,True,0
43,12,2,0.7894736842105345,6,True,0
44,10,0,6.994405055138486e-15,1,True,0
45,11,0,0.0,0,True,0
46,10,2,0.7660377358490678,5,True,0
47,11,0,0.0,0,True,0
48,10,0,0.0,0,True,0
49,9,0,0.0,0,True,0
50,10,3,0.7419354838709729,5,True,0
51,9,0,0.0,0,True,0
52,10,0,0.0,0,True,0
53,10,0,0.0,0,True,0
54,11,0,0.0,0,True,0
55,11,0,0.0,0,True,0
56,11,0,0.0,0,True,0
57,11,1,0.6412556053811644,2,True,0
58,10,1,0.659685863874347,2,True,0
59,11,0,0.0,0,True,0
60,10,2,0.375,2,True,0
61,10,3,0.8843930635838213,5,True,0
62,10,0,0.26014281077572593,2,True,0
63,10,2,0.94285714285715,6,True,0
64,10,0,0.7101449275362345,2,True,0
65,9,2,0.6226415094339622,4,True,0
66,10,0,0.0,0,True,0
67,9,5,0.9755501222493921,7,True,0
68,10,0,0.0,0,True,0
69,11,0,0.4027777777777939,2,True,0
70,11,0,0.04720279720281095,3,True,0
71,10,1,0.877675840978597,4,True,0
72,9,0,0.0,0,True,0
73,12,2,0.6581196581196611,5,True,0
74,10,0,0.0,0,True,0
75,11,4,0.7241379310344872,6,True,0
76,10,6,0.9874450721908417,9,True,0
77,10,0,0.0,0,True,0
78,11,3,0.9088145896656606,4,True,0
79,9,0,0.0,0,True,0
80,10,2,0.9058219178082213,3,True,0
81,11,0,0.0,0,True,0
82,10,0,0.0,0,True,0
83,12,4,0.8918918918918961,10,True,0
84,11,1,0.45454545454545936,2,True,0
85,11,3,0.9405351833498565,4,True,0
86,10,0,0.0,0,True,0
87,12,0,0.0,0,True,0
88,11,1,0.2790387182910551,2,True,0
89,11,0,0.0,0,True,0
90,11,0,0.806451612903232,2,True,0
91,10,3,0.9354838709677517,5,True,0
92,11,4,0.650224215246646,7,True,0
93,10,2,0.7894736842105285,3,True,0
94,11,0,0.0,0,True,0
95,11,1,0.5687061183550696,2,True,0
96,12,0,0.0,0,True,0
97,11,1,0.5000000000000023,2,True,0
98,10,0,0.0,0,True,0
99,9,2,0.6350364963503675,3,True,0
