index,worst_scenario,worst_satisfaction,second_scenario,second_satisfaction,margin,scenarios
0,F2,0.6363636363636364,F3,0.6909090909090909,0.054545454545454564,10
1,S2,0.5925925925925926,F3,0.5925925925925926,0.0,11
3,W1,0.5428571428571429,S3,0.6285714285714286,0.08571428571428563,9
4,S2,0.6363636363636364,W3,0.696969696969697,0.06060606060606066,10
5,F2,0.74,W1,0.78,0.040000000000000036,9
10,W3,0.6060606060606061,W2,0.6666666666666667,0.06060606060606066,9
11,W3,0.49557522123893805,F2,0.6902654867256637,0.19469026548672563,10
13,W1,0.7211538461538461,F3,0.7980769230769231,0.07692307692307698,9
16,S3,0.5555555555555556,W1,0.6111111111111112,0.05555555555555558,10
17,F3,0.625,F2,0.6388888888888888,0.01388888888888884,11
19,F1,0.7037037037037037,S3,0.7407407407407407,0.03703703703703698,12
23,S3,0.5950413223140496,S2,0.6611570247933884,0.06611570247933884,9
27,F2,0.6236559139784946,S2,0.6774193548387097,0.05376344086021512,11
28,W2,0.4776119402985075,F3,0.6716417910447761,0.19402985074626855,9
29,F1,0.43511450381679384,S1,0.6259541984732824,0.19083969465648853,10
30,S2,0.6504854368932038,S3,0.6990291262135923,0.04854368932038844,10
31,S1,0.5507246376811594,F3,0.5942028985507246,0.04347826086956519,10
32,W2,0.6320754716981132,W3,0.7264150943396226,0.09433962264150941,12
33,S2,0.6,W1,0.6842105263157895,0.08421052631578951,11
34,F3,0.5875,S2,0.6375,0.04999999999999993,11
36,W2,0.5376344086021505,F1,0.6236559139784946,0.08602150537634412,9
37,S3,0.7123287671232876,S4,0.7397260273972603,0.027397260273972712,11
38,S1,0.6614173228346456,F2,0.6692913385826771,0.007874015748031482,12
39,F1,0.6944444444444444,W2,0.7222222222222222,0.02777777777777779,10
44,W4,0.7398373983739837,S4,0.7479674796747968,0.008130081300813163,11
45,S2,0.3880597014925373,W1,0.4701492537313433,0.08208955223880599,10
46,F4,0.53,S1,0.64,0.10999999999999999,11
47,W3,0.59375,F1,0.625,0.03125,9
50,S3,0.5419847328244275,W2,0.6183206106870229,0.07633587786259544,9
52,F4,0.6212121212121212,S2,0.7272727272727273,0.10606060606060608,12
54,S1,0.5633802816901409,F2,0.647887323943662,0.08450704225352113,11
57,S1,0.5283018867924528,W2,0.6226415094339622,0.09433962264150941,9
58,S2,0.5338983050847458,W1,0.5423728813559322,0.008474576271186418,10
