instance,hurt,total,uniform,optimal,saving
1,2,10,94.0625,14.0,0.8511627906976744
2,3,11,238.265625,46.0,0.8069381598793364
3,10,12,185.09765625,86.0,0.5353803946396539
4,8,11,100.73046875,33.0,0.6723930662737038
5,1,10,286.83984375,23.0,0.9198158815759012
6,4,10,138.1875,36.0,0.7394843962008141
7,9,11,442.828125,130.0,0.7064323771214848
8,3,11,99.515625,15.0,0.8492699010833726
9,6,10,218.60546875,32.5,0.8513303432625128
10,10,11,159.359375,85.5,0.4634768114521031
11,2,12,22.640625,3.0,0.8674948240165632
12,5,10,348.5625,92.0,0.7360588129818899
13,2,10,47.09375,9.0,0.8088918380889184
14,9,10,555.12890625,109.0,0.8036492087282655
15,7,10,169.640625,86.5,0.4900985539283412
16,9,12,233.59375,90.0,0.6147157190635452
17,3,11,551.8828125,28.0,0.9492645913846067
18,3,10,430.0,52.0,0.8790697674418605
19,4,10,236.671875,45.5,0.807750709711494
20,7,10,342.62109375,113.0,0.670189599936154
21,1,11,497.0,38.0,0.9235412474849095
22,7,12,92.37109375,32.0,0.6535712775404914
23,7,10,278.4296875,73.0,0.7378153146833525
24,6,11,123.9140625,30.0,0.757896727822962
