failed,satisfaction,min_fill_rate,recovery_cost
S1,1.0,1.0,105.0
S2,1.0,1.0,34.0
S3,1.0,1.0,0.0
S4,1.0,1.0,47.0
S5,1.0,1.0,142.0
S6,1.0,1.0,196.0
S7,1.0,1.0,62.0
S8,1.0,1.0,347.0
S9,1.0,1.0,0.0
S10,1.0,1.0,0.0
F1,1.0,1.0,56.0
F2,1.0,1.0,307.0
F3,1.0,1.0,112.0
F4,1.0,1.0,0.0
F5,1.0,1.0,153.0
F6,1.0,1.0,90.0
F7,1.0,1.0,60.0
F8,1.0,1.0,664.0
F9,1.0,1.0,1.0
F10,1.0,1.0,114.0
W1,1.0,1.0,189.0
W2,1.0,1.0,127.0
W3,0.9709821428571429,0.7111111111111111,12917.0
W4,1.0,1.0,157.0
W5,0.9754464285714286,0.65625,11042.0
W6,1.0,1.0,171.0
W7,1.0,1.0,364.0
W8,1.0,1.0,156.0
W9,1.0,1.0,75.0
W10,1.0,1.0,129.0
