variant,level,spend,worst_satisfaction
base,0.0,0.0,0.7222222222222222
base,0.05,33.0,0.7583333333333333
base,0.1,66.0,0.7944444444444445
base,0.15,99.0,0.8305555555555555
base,0.2,132.0,0.8666666666666667
base,0.25,165.0,0.9027777777777778
base,0.3,198.0,0.9305555555555556
base,0.35,230.99999999999997,0.9513888888888888
base,0.4,264.0,0.9722222222222222
base,0.45,297.0,0.9930555555555556
base,0.5,330.0,1.0
cost_x0.8,0.0,0.0,0.7222222222222222
cost_x0.8,0.05,33.0,0.7583333333333333
cost_x0.8,0.1,66.0,0.7944444444444445
cost_x0.8,0.15,99.0,0.8305555555555555
cost_x0.8,0.2,132.0,0.8666666666666667
cost_x0.8,0.25,165.0,0.9027777777777778
cost_x0.8,0.3,198.0,0.9305555555555556
cost_x0.8,0.35,230.99999999999997,0.9513888888888888
cost_x0.8,0.4,264.0,0.9722222222222222
cost_x0.8,0.45,297.0,0.9930555555555556
cost_x0.8,0.5,330.0,1.0
cost_x1.2,0.0,0.0,0.7222222222222222
cost_x1.2,0.05,33.0,0.7583333333333333
cost_x1.2,0.1,66.0,0.7944444444444445
cost_x1.2,0.15,99.0,0.8305555555555555
cost_x1.2,0.2,132.0,0.8666666666666667
cost_x1.2,0.25,165.0,0.9027777777777778
cost_x1.2,0.3,198.0,0.9305555555555556
cost_x1.2,0.35,230.99999999999997,0.9513888888888888
cost_x1.2,0.4,264.0,0.9722222222222222
cost_x1.2,0.45,297.0,0.9930555555555556
cost_x1.2,0.5,330.0,1.0
capacity_x0.8,0.0,0.0,0.5777777777777777
capacity_x0.8,0.05,26.400000000000002,0.6066666666666667
capacity_x0.8,0.1,52.800000000000004,0.6355555555555557
capacity_x0.8,0.15,79.2,0.6644444444444444
capacity_x0.8,0.2,105.60000000000001,0.6933333333333334
capacity_x0.8,0.25,132.0,0.7222222222222222
capacity_x0.8,0.3,158.4,0.7511111111111111
capacity_x0.8,0.35,184.79999999999998,0.78
capacity_x0.8,0.4,211.20000000000002,0.8088888888888889
capacity_x0.8,0.45,237.6,0.8377777777777777
capacity_x0.8,0.5,264.0,0.8666666666666667
capacity_x1.2,0.0,0.0,0.8666666666666667
capacity_x1.2,0.05,39.6,0.91
capacity_x1.2,0.1,79.2,0.9388888888888889
capacity_x1.2,0.15,118.8,0.9638888888888889
capacity_x1.2,0.2,158.4,0.9888888888888889
capacity_x1.2,0.25,198.0,1.0
capacity_x1.2,0.3,237.6,1.0
capacity_x1.2,0.35,277.2,1.0
capacity_x1.2,0.4,316.8,1.0
capacity_x1.2,0.45,356.40000000000003,1.0
capacity_x1.2,0.5,396.0,1.0
