level,spend,worst_satisfaction_single,worst_scenario_single,max_recovery_cost_single,worst_satisfaction_pairs,worst_scenario_pairs
0.0,0.0,0.7222222222222222,S1,49760.0,0.33333333333333337,S1+S2
0.05,33.0,0.7583333333333333,S1,43299.0,0.35,S1+S2
0.1,66.0,0.7944444444444445,S1,36838.0,0.3666666666666667,S1+S2
0.15,99.0,0.8305555555555555,S1,30377.0,0.3833333333333333,S1+S2
0.2,132.0,0.8666666666666667,S1,23916.0,0.38888888888888884,W1+W2
0.25,165.0,0.9027777777777778,S1,17455.0,0.38888888888888884,W1+W2
0.3,198.0,0.9305555555555556,W1,12539.0,0.38888888888888884,W1+W2
0.35,230.99999999999997,0.9513888888888888,W1,8815.5,0.38888888888888884,W1+W2
0.4,264.0,0.9722222222222222,W1,5092.0,0.38888888888888884,W1+W2
0.45,297.0,0.9930555555555556,W1,1368.5,0.38888888888888884,W1+W2
0.5,330.0,1.0,S1,125.0,0.38888888888888884,W1+W2
